параметр,тип,p_value,наблюдения,группы
Наименование,категориальный,1.7459129450459956e-22,618,285x4
Дата регистрации,категориальный,1.9140292109965033e-22,618,286x4
"Капитал и резервы, RUB",числовой,8.637789000238198e-14,437,4
"Пассивы всего, RUB",числовой,6.346478091973487e-11,617,4
Регион регистрации,категориальный,4.9218837063121454e-08,618,47x4
"Чистая прибыль (убыток), RUB",числовой,0.0009262059479381602,275,4
"Прибыль (убыток) до налогообложения , RUB",числовой,0.005704695887890907,276,4
"Остаток средств на конец отчетного года, RUB",числовой,0.007208969023522645,353,4
"Прочие расходы, RUB",числовой,0.01763388457070854,240,4
"Прибыль (убыток) от продажи, RUB",числовой,0.021483626473051735,218,4
Организационно-правовая форма,категориальный,0.026466018843693172,618,5x4
"Валовая прибыль (убыток), RUB",числовой,0.08376171809467099,133,4
"Выручка, RUB",числовой,0.11081716342471225,181,4
"Всего поступило средств, RUB",числовой,0.1236401600230296,376,4
Регистрационный номер,числовой,0.1900743106882245,618,4
численность_доп_признак,категориальный,0.20429558176940354,68,4x4
Среднесписочная численность работников,категориальный,0.20429558176940354,68,4x4
"Управленческие расходы, RUB",числовой,0.21184715589699207,77,4
"Всего использовано средств, RUB",числовой,0.28411814961327425,386,4
"Себестоимость продаж, RUB",числовой,0.38062826451436144,133,4
"Текущий налог на прибыль, RUB",числовой,0.48430316080149194,112,4
"Расходы на содержание аппарата управления, RUB",числовой,0.4954378581450646,303,4
численность_новая,категориальный,0.5121106229980421,68,2x4
"Прочие доходы, RUB",числовой,0.6037793734714185,82,4
"Расходы на целевые мероприятия, RUB",числовой,0.6335516642467738,308,4
Год,числовой,0.6377460413181948,618,4
"Приобретение основных средств, инвентаря и иного имущества, RUB",числовой,0.6813907743124697,55,4
"Денежные средства и денежные эквиваленты, RUB",числовой,0.7782033369254363,537,4
"Прибыль от приносящей доход деятельности, RUB",числовой,0.7982485650049345,101,4
