Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Доходы, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Расходы, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB"
"101 КИЛОМЕТР. ПОДВИЖНИКИ МАЛОЯРОСЛАВЦА, БФ",1167700057568.0,2016-05-24 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001140.0,2015-01-23 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,26152000.0,24597000.0,,,294000.0,,,,264000.0,,30000.0,264000.0,294000.0,,,,,,,27000.0,27000.0,644000.0,25308000.0,,,,,,
"1ПОМОГАЕТ, БФ",1167700056347.0,2016-04-28 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,1458000.0,1533000.0,,94000.0,19000.0,,,,133000.0,,38000.0,132000.0,171000.0,,,,,,,,,213000.0,1242000.0,,,0 - 5,,,
"3Д, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1197700012080.0,2019-08-13 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"459 ОРСПН, ФОНД",1217700471890.0,2021-10-06 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 СВОБОД, БФЗЖ",1167700051826.0,2016-02-05 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5541 ДОБРО, БФ",1147799011612.0,2014-07-22 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,641697000.0,754602000.0,,82000.0,180424000.0,,,,180424000.0,,61000.0,180424000.0,180506000.0,,,,,,,,,16211000.0,625374000.0,,,11 - 15,,,
"60 ЛЕТ ПОБЕДЫ, НО ФОНД",1057748253860.0,2005-09-19 00:00:00,Действующая,Москва,Фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 ЖИЗНЕЙ, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1157700001689.0,2015-02-04 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,3000.0,,,,3000.0,-2000.0,,2000.0,,3000.0,,,,,,,,,,,,,,,,
"770, БФ",1197700007042.0,2019-05-08 00:00:00,Действующая,Москва,Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
