Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB",численность_доп_признак,численность_новая
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2017,,158000.0,153000.0,,,3000.0,,,3000.0,,,3000.0,3000.0,,,,,,,,,,155000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2018,,70000.0,83000.0,,,16000.0,,,16000.0,,,16000.0,16000.0,,,,,,,,,,70000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2019,,76000.0,71000.0,,,11000.0,,,11000.0,,,11000.0,11000.0,,,,,,,,,,76000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2020,,50000.0,132000.0,,,93000.0,,,93000.0,,,93000.0,93000.0,,,,,,,,,1000.0,45000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2021,,493000.0,470000.0,,,70000.0,,,70000.0,,,70000.0,70000.0,,,,,,,,,97000.0,355000.0,,,,,,,
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2017,,,2078000.0,,16000.0,78000.0,,,568000.0,,,568000.0,568000.0,,,,,,,,,748000.0,1581000.0,,0 - 5,,,,до 5,Малые (1-15)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2018,,1885000.0,2251000.0,,70000.0,412000.0,,,934000.0,,74000.0,934000.0,1008000.0,,,,,,,,,1381000.0,487000.0,,,,,,,Малые (1-15)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2019,,3107000.0,2912000.0,,,495000.0,,,,,314000.0,739000.0,1053000.0,,,,,,,,,800000.0,2228000.0,,,,,,,Крупные (151-1000)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2020,,1960000.0,2008000.0,,335000.0,465000.0,,,,,486000.0,787000.0,1273000.0,,,,,,,,,1039000.0,921000.0,,,,,,,Крупные (151-1000)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2021,,2044000.0,1512000.0,,275000.0,39000.0,,,,,516000.0,255000.0,771000.0,,,,,,,,,989000.0,1030000.0,,,,,,,Крупные (151-1000)
